,date,location,tweets
46,2019-04-16 21:31:38,"Minneapolis, MN",we just had a random power outage at the airport I was so excited bc I thought I was going to go home but then it came back on :(
47,2019-04-16 21:28:31,"Vancouver, British Columbia","RT @redcrosscanada: A team of healthcare workers, including Canadian, Finnish and local Mozambican staff, improvises to safely deliver babi…"
48,2019-04-16 21:26:50,"Kansas City, MO",Traffic signals out at 6th &amp; 7th on Grand due to a power outage. Not everyone is treating them as a 4-way stop so b… https://t.co/uOU6Yw6a6n
49,2019-04-16 21:26:05,,Phew I thought my self-clean ovens blew the electric - just a power outage!
50,2019-04-16 21:24:32,"Lagos, Nigeria","RT @XperiencSwtness: Thread bcos knowledge is power. Pls know d individuals who own ur DISCO👇

1. ELECTRICITY DISTRIBUTION IN NIGERIA IS CO…"
51,2019-04-16 21:22:59,,RT @hfiguiere: Glad to see that @hydroquebec  thinks 22:00-23:00 is the best time for a scheduled power outage.  Ruining people's evening (…
52,2019-04-16 21:20:22,Everywhere And Nowhere Through Time.,RT @AADaddario: Filing a lawsuit against the wind for causing the power outage that is melting all my ice cream
53,2019-04-16 21:17:59,"Montréal, QC",Glad to see that @hydroquebec  thinks 22:00-23:00 is the best time for a scheduled power outage.  Ruining people's… https://t.co/lxS5qTMph3
54,2019-04-16 21:16:43,"British Columbia, Canada","RT @redcrosscanada: A team of healthcare workers, including Canadian, Finnish and local Mozambican staff, improvises to safely deliver babi…"
55,2019-04-16 21:13:44,,Lol power outage at work
56,2019-04-16 21:13:32,Alabama ,"RT @Mamayo_Journals: Last night we had 70 mph wind, hail and a power outage. Today it’s icy snow. Spring?! #backyardbirds #birdwatching #ca…"
57,2019-04-16 21:13:05,,I got hacked yesterday bc literally I just finished my class I got on omg @TwitterSupport what the world I didn’t s… https://t.co/1SMBfnSGqc
58,2019-04-16 21:12:54,uk,the gym had a power outage so we had no music or lights during my pump class so the instructor just. made it up as… https://t.co/vwcN8A2SJq
59,2019-04-16 21:12:35,"Ukiah, CA",RT @LakeCoNews: PG&amp;E is reporting that 266 customers are out of power in the Nice area. That outage followed a vehicle crash involving a po…
60,2019-04-16 21:11:57,,RT @dog_feelings: the human likes to cover my eyes with my ears. and pretend there’s been a power outage. i go along with this. because it…
61,2019-04-16 21:11:10,"Bradford, PA","There's no save feature, so here's hoping we don't have a power outage tonight!"
62,2019-04-16 21:08:21,Thera,"#DeepThoughtsFromJocks
2

+

2

=

??

?

...

*North American power outage*

E=mc2? https://t.co/62QEirJJsK"
63,2019-04-16 21:08:20,Lake County California,PG&amp;E is reporting that 266 customers are out of power in the Nice area. That outage followed a vehicle crash involv… https://t.co/28izkgx1Zi
64,2019-04-16 21:07:51,Ontario Canada,"RT @CTVKitchener: A large power outage has affected a swath of Kitchener along the border of Waterloo, but crews say power should be restor…"
65,2019-04-16 21:07:21,Probably playing Dark Souls,"@MagentaInkk I really want to, but power outage."
66,2019-04-16 21:06:43,"New York, NY",It’s 5:15 PM and you’re about to head home for the day. But what would happen if your desktop didn’t turn back on i… https://t.co/XiNRd4QE5x
67,2019-04-16 21:05:22,,Managed to get through the power outage without doing anything dumb. https://t.co/60BranFN5g
68,2019-04-16 21:04:47,"Saint John, New Brunswick",‼️We are currently experiencing a power outage and will be closing for the evening. We will reopen tomorrow at our… https://t.co/NYHRejVGsn
69,2019-04-16 21:03:44,"Chicago,Illinois. ","I wasn’t prepared for my Neurobiology final presentation at allllll and I had to present today, but luckily that po… https://t.co/H6mJ0c8Q3S"
70,2019-04-16 21:03:40,"Saint John, NB, Canada",RT @ClevesSaintJohn: Due to the power outage currently affecting the East Point Shopping Area. We are closed till further notice. We will u…
71,2019-04-16 21:00:32,"755 Progress Ave, Toronto",RT @DisasterKleenup: Don't make these mistakes if you are without power! #poweroutage https://t.co/Zkd2DSGAfO
72,2019-04-16 21:00:29,"Saint John, N.B.",A power outage in east #SaintJohn has led to a partial closure of Westmorland Road: https://t.co/zc63aPZVG0 https://t.co/8PtaZYwALL
73,2019-04-16 20:58:41,"Texas, USA","My dentist appointment got cancelled the day of, now they’re rescheduling my orthodontic appointment after I’ve bee… https://t.co/NQOVWa21xw"
74,2019-04-16 20:54:52,,RT @KWHydro: Crews are on scene to repair a broken insulator that caused this afternoon's power outage in #Kitchener. Updated ETR is 5:00 p…
75,2019-04-16 20:54:28,"Saint John, N.B.",A power outage in east #SaintJohn has led to a partial closure of Westmorland Road: https://t.co/EFgkURNZvA https://t.co/dKCMsTzY9y
76,2019-04-16 20:54:27,"Saint John, New Brunswick",A power outage in east #SaintJohn has led to a partial closure of Westmorland Road: https://t.co/lWMrOTDnRZ https://t.co/qTOjt5ovYg
77,2019-04-16 20:54:19,Ghana,The Ghana Grid Company (GRIDCo) has apologized for Monday night’s power outage that affected several areas in the c… https://t.co/H7XF1ZwJB3
78,2019-04-16 20:52:23,"Saint John, NB",Downed power lines result in outage https://t.co/gd6CkYP9zY https://t.co/ZCKCLpnqs4
79,2019-04-16 20:51:35,Waterloo Region,"RT @570NEWS: JUST IN: @KWHydro reporting a power outage affecting over 3,000 customers in Kitchener - cause is under investigation, current…"
80,2019-04-16 20:49:51,,"RT @570NEWS: JUST IN: @KWHydro reporting a power outage affecting over 3,000 customers in Kitchener - cause is under investigation, current…"
81,2019-04-16 20:49:34,Waterloo Reg. Canadian...eh!,Kitchener Power Outage https://t.co/TlUKGoiylf
82,2019-04-16 20:48:56,"Kitchener, Waterloo, Cambridge","A large power outage has affected a swath of Kitchener along the border of Waterloo, but crews say power should be… https://t.co/hDP0ei22Wm"
83,2019-04-16 20:46:08,"Kitchener, Ontario",RT @KWHydro: Crews are on scene to repair a broken insulator that caused this afternoon's power outage in #Kitchener. Updated ETR is 5:00 p…
84,2019-04-16 20:45:44,Kitchener,Crews are on scene to repair a broken insulator that caused this afternoon's power outage in #Kitchener. Updated ET… https://t.co/9Y2p1e2BCP
85,2019-04-16 20:44:54,"Victoria, Australia",Power Outage: 05:40AM: (1772 premises) - Bayswater (697) Boronia (679) Mooroolbark (213) Lilydale (183) Restoration… https://t.co/aHaBwdxEXo
86,2019-04-16 20:44:40,"Toronto, ON","RT @570NEWS: JUST IN: @KWHydro reporting a power outage affecting over 3,000 customers in Kitchener - cause is under investigation, current…"
