datetime,aerial_(fly-over),drills/exercises,environmental,fire,infrastructure,mass_transit_disruption,mass_transit_restoration,missing_adult,missing_child/adolescent,parking,public_awareness,public_health,road_closure,school_notification,structural,utility,weather,temperature_f,wind_dir_degrees,wind_speed_mph,broken_clouds,drizzle,dust,few_clouds,fog,freezing_rain,haze,heavy_intensity_drizzle,heavy_intensity_rain,heavy_snow,heavy_thunderstorm,light_intensity_drizzle,light_intensity_shower_rain,light_rain,light_rain_and_snow,light_snow,mist,moderate_rain,overcast_clouds,proximity_thunderstorm,proximity_thunderstorm_with_drizzle,proximity_thunderstorm_with_rain,sand,sand/dust_whirls,scattered_clouds,shower_rain,sky_is_clear,smoke,snow,squalls,thunderstorm,thunderstorm_with_heavy_rain,thunderstorm_with_light_drizzle,thunderstorm_with_light_rain,thunderstorm_with_rain,very_heavy_rain,outage
2012-10-20 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67.6,160.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64.96,160.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-21 08:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.63,112.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-22 15:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.83,294.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-22 18:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.94,310.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-23 05:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52.18,290.0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-23 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51.87,300.0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-23 07:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50.79,290.0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-23 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48.9,290.0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-23 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.2,300.0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-23 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66.67,288.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-25 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60.49,40.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-26 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61.57,208.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-27 08:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57.97,40.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-27 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65.12,230.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-27 20:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.06,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-27 21:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64.6,180.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-28 10:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.95,60.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-28 11:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59.95,50.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-28 12:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60.91,110.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-28 15:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64.18,50.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-28 23:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60.42,50.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.31,50.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-29 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57.59,60.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-29 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56.64,50.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56.62,50.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29 15:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56.68,40.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29 17:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57.94,50.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29 19:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57.92,50.0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57.45,50.0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-29 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57.7,40.0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-29 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57.22,40.0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-30 08:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.16,30.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-30 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53.83,20.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-30 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54.41,20.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-30 14:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54.95,40.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-30 20:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60.56,60.0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-31 07:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.95,150.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-31 17:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54.64,170.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-31 18:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54.16,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-31 19:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52.97,200.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-31 22:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52.57,210.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
