,date,id,tweet,userid
287,2017-12-13 23:23:04,941086094094946304,You're welcome!  We're sorry to hear about the recent power outage experienced. Please report this condition to PREPA as soon as possible. Thank you and be safe! ~ AJ,b'ConEdison'
288,2017-12-13 17:46:15,941001333649395712,".@ConEdison is responding to a power outage in Brooklyn, ZIP 11224.  Report service loss: 1-800-75-CONED. Multilingual and ASL Link: http://on.nyc.gov/22lyehC .",b'NotifyNYC'
289,2017-12-12 23:39:03,940727731582652416,.@ConEdison ConEd is responding to a power outage in Brooklyn ZIPs 11214 & 11223.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
290,2017-12-10 01:38:25,939670605200265216,NotifyNYC: .ConEdison ConEd is responding to a power outage in Bronx ZIP 10464.  Report service loss: 1-800-75-CONED. Multilingual & ASL link: http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
291,2017-12-10 01:23:29,939666849381404672,.@ConEdison ConEd is responding to a power outage in Bronx ZIP 10464.  Report service loss: 1-800-75-CONED. Multilingual & ASL link: http://on.nyc.gov/22lyehC .,b'NotifyNYC'
292,2017-11-30 08:32:42,936150985742934016,"NotifyNYC: .ConEdison is responding to a power outage in Queens, ZIPs 11413 and 11422.  Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .",b'EastCoast911IA'
293,2017-11-30 08:17:57,936147271900717056,".@ConEdison is responding to a power outage in Queens, ZIPs 11413 and 11422.  Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .",b'NotifyNYC'
294,2017-11-29 02:56:09,935703901319450624,NotifyNYC: .ConEdison ConEd is responding to a power outage in Staten Island ZIPs 10301 and 10304.  Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
295,2017-11-29 02:53:59,935703357402046465,.@ConEdison ConEd is responding to a power outage in Staten Island ZIPs 10301 and 10304.  Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .,b'NotifyNYC'
296,2017-11-23 02:09:30,933517833530691586,"Accident at intersection 62nd Street/65th Place.  Motorist on 62nd drove into moving traffic on 65th Place and struck DSNY truck, no injuries.  Unfortunate event, motorist would not have been at location were it not for power outage.  Never know from one minute to the next.",b'SNIPNYC'
297,2017-11-23 01:55:23,933514283429842944,UPDATE: there is a localized power outage in a 4 block radius of 61-90 Maurice Avenue. @ConEdison is on scene. https://twitter.com/NYPD104Pct/status/933486440125747206 …,b'NYPD104Pct'
